Company,Address,Website,Business Type,Industry,Offer,Products,Email Address,Phone Number,Types of Workers Needed,Ratings of workers,Date Accessed,
114 GPS Ltd  T/A Sushi Atelier,LONDON,,,Others,,,,, Skilled Worker,Worker (A rating),10-Jan-20,
11K Consulting Ltd,London,,,Management,,,,,Skilled Worker,Worker (A rating),21-Sep-21,
1218 UK Limited trading as 1218 Global,Leicester,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Dec-17,
123 Insight Limited,Durely,,,Others,,,,, Skilled Worker,Worker (A rating),13-Feb-17,
1265 Degrees North Ltd,Newcastle upon Tyne,,,Others,,,,, Skilled Worker,Worker (A rating),10-Mar-17,
1266 Music Group,Glasgow,,,Others,,,,,Creative & Sporting,Temporary Worker (A rating),22-Mar-21,
13 Artists,Brighton,,,Administrative and support,,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-13,
1313 Global Limited,Hounslow,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
14 PROMOTIONS (TRADE) LIMITED,LONDON,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),24-Jan-20,
1508 London Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),14-Dec-16,
15GIFTS LTD,Brighton,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),3-May-14,
168 EXPRESS LTD,CALDICOT,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),21-Apr-21,
16HarleyCo Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),10-Jan-20,
16printing Ltd,Jewellery quarter,,,Others,,,,, Skilled Worker,Worker (A rating),3-May-14,
17 Capital Services Ltd,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),22-Jul-19,
1708 Retail Ltd,Waterlooville,,,Others,,,,,Skilled Worker,Worker (A rating),10-Mar-21,
1783 Limited,London,,,"Finance,Insurance",,,,,Skilled Worker,Worker (A rating),2-Aug-21,
17TAOUK TRADE LIMITED,BIRMINGHAM,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),18-Sep-20,
18 Feet & Rising Limited,London,,,Advertising,,,,, Skilled Worker,Worker (A rating),31-May-17,
1854 Media Limited,London,,,Publishing,,,,, Skilled Worker,Worker (A rating),2-Sep-19,
18A Charing Cross Dental Surgery,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
18APR Limited,London,,,"Arts ,Entertainment",,,,, Creative & Sporting,Temporary Worker (A rating),17-Oct-18,
19RM Ltd,LONDON,,,Others,,,,, Skilled Worker,Worker (A rating),28-Apr-15,
1E Limited,Ealing,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
1OAK CAPITAL LIMITED,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),31-Dec-20,
1partCarbon Ltd,Edinburgh,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),12-Dec-14,
1PS Group Limited,LONDON,,,"Finance,Insurance",,,,,Skilled Worker,Worker (A rating),6-Aug-21,
1Spatial Group,Cambridge,,,Others,,,,, Skilled Worker,Worker (A rating),4-Jun-19,
1st Class Protection Ltd,London,,,Others,,,,,Skilled Worker,Worker (A rating),15-Mar-21,
1st Glimpse Ltd,Witham,,,Others,,,,, Skilled Worker,Worker (A rating),31-Oct-15,
1st Line Defence Ltd,Hoddesdon,,,"Public administration, Government",,,,,Skilled Worker XG3C3TYP7,Worker (A rating),25-May-21,
1stavenue.co.uk Ltd,Bromley,,,Real estate,,,,,Skilled Worker,Worker (A rating),20-Sep-21,
1Truth Ltd,Newtownabbey,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),16-Oct-17,
2 degrees Limited,Oxford,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),1-May-19,
2 Plan Project Management Limited,Woking,,,Management,,,,, Skilled Worker,Worker (A rating),23-May-18,
2 Sisters Leicester Ltd t/a Cafe Delhi,Leicester,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),21-May-19,
20/30 Labs Limited,Northanpton,,,Architecture,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
200 Degrees Coffee Roasters,Nottingham,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),26-Sep-17,
200OK Solutions Ltd,Stanmore,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),4-May-21,
2020 Delivery Ltd t/a The PSC,London,,,Others,,,,, Skilled Worker,Worker (A rating),1-Oct-20,
21st Architecture Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
21st Club Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),2-Aug-19,
22cans Ltd.,GUILDFORD,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),3-May-14,
2399098 Ontario Inc o/a MAK Consulting Group,High Wycombe,,,Others,,,,, Skilled Worker,Worker (A rating),22-Sep-20,
24 Live UK Ltd,London,,,Radio and Television,,,,, Skilled Worker,Worker (A rating),12-Jul-18,
24 RT Limited,Edinburgh,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
24 Seven UK Limited,London,,,Recruitment,,,,, Skilled Worker,Worker (A rating),19-Aug-20,
247 Commerce Ltd,Brentford,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
24-7 Prayer,Guildford,,,Religious,,,,, T2 Minister of Religion,Worker (A rating),4-Aug-13,
24Haymarket Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),24-Sep-18,
24SQ Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),7-Mar-18,
272BIO Ltd,Uckfield,,,Scientific Research,,,,,Skilled Worker,Worker (A rating),18-Feb-21,
29 Forward Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),10-Feb-20,
29 Stoney Street LLP,Nottingham,,,Others,,,,,Skilled Worker,Worker (A rating),13-May-21,
2CV Ltd,London,,,Advertising,,,,, Skilled Worker,Worker (A rating),22-Dec-13,
2DAYUK LIMITED,St. Ives,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",28-Mar-19,
2-DTech Ltd.,Manchester,,,Management,,,,, Skilled Worker,Worker (A rating),3-Mar-15,
2Excel Aviation Ltd,Sywell,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
2H Offshore Engineering Ltd,Woking,,,Mining and Quarrying,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
2M Automation Ltd,Oldham,,,Management,,,,, Skilled Worker,Worker (A rating),26-Jun-19,
2MS CONSTRUCTION LTD,Newmarket,,,Construction,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
2MZ Ltd,London,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),5-Jul-19,
2R Capital Investment Management Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),12-Aug-19,
2S Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),21-Jan-20,
3 Heads Agency,Bedford,,,Advertising,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
3 Sided Cube (UK) Ltd,Bournemouth,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
3 SPIRIT ENTERPRISE UK LIMITED,Hemel Hempstead,,,Education,,,,, Skilled Worker,Worker (A rating),22-Apr-20,
3 star healthcare Ltd,Leicester,,,Social Work,,,,,Skilled Worker,Worker (A rating),22-Apr-21,
3 TIMES LIMITED,East Horsley,,,Video or Music Production,,,,, Creative & Sporting,Temporary Worker (A rating),12-Sep-19,
3 Way Displays Lts,Chesham,,,Others,,,,, Skilled Worker,Worker (A rating),21-Mar-19,
3 Way Healthcare Limited,Reading,,,Dental,,,,, Skilled Worker,Worker (A rating),25-Jul-19,
3 Wise Bears Ltd,London,,,Others,,,,,Skilled Worker,Worker (A rating),10-Aug-21,
313 Vision Care Ltd,Fordingbridge,,,Social Work,,,,,Skilled Worker,Worker (A rating),19-Apr-21,
33Seconds Ltd,London,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),1-Sep-15,
34SP.com Limited,Manchester,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),26-Nov-18,
36 South Capital Advisors LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Jun-14,
360 energy,Craigavon,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),23-Nov-20,
360 health ltd,london,,,Social Work,,,,, Skilled Worker,Worker (A rating),15-Nov-19,
360 Leaders Ltd,London,,,Recruitment,,,,,Skilled Worker,Worker (A rating),29-Apr-21,
360 Recruitment Limited,Nottingham,,,Recruitment,,,,, Skilled Worker,Worker (A rating),17-Jul-20,
360Globalnet Ltd,Whyteleafe,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
365 Childminding Ltd,Luton,,,Education,,,,, Skilled Worker,Worker (A rating),5-May-16,
365Ab Ltd,Lonodn,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
38 Degrees,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
38 Entertainment Group Ltd,London,,,Advertising,,,,,Skilled Worker,Worker (A rating),23-Feb-21,
383 Project,Birmingham,,,Others,,,,, Skilled Worker,Worker (A rating),17-Feb-18,
3AB CARE LIMITED,Chipping Sodbury,,,Medical,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
3B Data Security Ltd,Sawston,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),7-Jun-19,
3B DIGITAL LTD,LONDON,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
3CS Holdings PLC,London,,,Management,,,,, Skilled Worker,Worker (A rating),25-Jun-20,
3D Industries Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),27-Mar-19,
3d Innovations Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),10-Jan-14,
3-D Matrix UK Limited,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",17-Jun-20,
3D Repo Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),6-May-20,
3D Systems Europe Ltd,Hemel Hempstead,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
3DC Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),25-Apr-19,
3EN Cloud Ltd,Holywood,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
3ES Accountants Limited,Harrow,,,Legal,,,,,Skilled Worker,Worker (A rating),31-Mar-21,
3F BIO LTD,Glasgow,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),22-Oct-18,
3H Partners Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),7-Dec-17,
3i plc,London,,,"Finance,Insurance",,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",15-Feb-21,
3Keel LLP,Oxford,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
3KOBROS LIMITED,LONDON,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),15-Nov-19,
3M United Kingdom PLC,Bracknell,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
3MS MUSIC LTD,ST ALBANS,,,Video or Music Production,,,,, Creative & Sporting,Temporary Worker (A rating),22-Feb-18,
3P Learning Limited,Bristol,,,Software Publishing,,,,, Skilled Worker,Worker (A rating),15-Nov-19,
3rd Eye Vision Ltd,Hove,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),17-Oct-13,
3RDi Limited,London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),25-Mar-21,
3S Knowledge Limited,Warwick,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
3S Money Club Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),28-Nov-19,
3Search Limited,London,,,Recruitment,,,,, Skilled Worker,Worker (A rating),7-May-20,
3T Logistics Limited,Leicester,,,Others,,,,, Skilled Worker,Worker (A rating),28-Jan-19,
3ti Energy Hubs Ltd,LEATHERHEAD,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
3V Consultants Limited,Solihull,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),30-Apr-20,
4 Roads Ltd,Kenilworth,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),19-Sep-13,
42 Acres Ltd,London,,,Construction,,,,, Skilled Worker,Worker (A rating),25-Nov-17,
42Gears Mobility Systems (UK) Ltd,Manchester,,,Computer Programming,,,,, Intra-company Routes,Worker (A rating),17-Jun-19,
45R-LD LIMITED,London,,,Wholesale & Retail,,,,, Intra-company Routes,Worker (A rating),16-Jul-18,
4AS Limited,Warwickshire,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),31-Jul-18,
4BIO Ventures Management Limited,London,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),20-Feb-18,
4C Associates Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),28-May-15,
4C Hotels Victoria LLP,London,,,Others,,,,,Skilled Worker,Worker (A rating),24-May-21,
4C Offshore Limited,Lowestoft,,,Others,,,,, Skilled Worker,Worker (A rating),12-Nov-18,
4D Pharma Research Ltd,Aberdeen,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),8-May-15,
4Fashions Ltd,Manchester,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),6-Apr-17,
4M LONDON LIMITED,LONDON,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",26-Feb-20,
4MA LIMITED,LONDON,,,Architecture,,,,, Skilled Worker,Worker (A rating),29-Nov-13,
4most Europe Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),4-Mar-17,
4M-TESTING LTD,Leeds,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),18-Sep-20,
4POLO Ltd,Kirlington,,,"Arts ,Entertainment",,,,,Creative & Sporting 1R0RQJXN7,Temporary Worker (A rating),21-Jun-21,
4PS Construction Solutions Limited,Birmingham,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),8-May-19,
5 Dimensions Trust,Milton Keynes,,,Education,,,,, Skilled Worker,Worker (A rating),6-Aug-20,
5 E Ltd,London,,,Education,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
5 Hertford Street,London,,,Administrative and support,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
5 S Family Limited T/A New Haweli,West Byfleet,,,Others,,,,, Skilled Worker,Worker (A rating),2-Nov-20,
5 Star Fruit and Veg London Ltd,Ilford,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
51 CARGO SERVICES LIMITED,MANCHESTER,,,Others,,,,, Skilled Worker,Worker (A rating),8-Oct-20,
515 Capital Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),3-May-14,
51parcel LTD,Birmingham,,,Transportation & Storage,,,,,Skilled Worker RFN7GJ8C8,Worker (A rating),9-Jun-21,
54 Capital Ltd,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),16-Jun-17,
54 Queens Gate Hotel Limited,London,,,Food & Accomodation,,,,,Intra-company Routes,Worker (A rating),28-Jul-21,
5654 & Company Limited,Higham Ferrers,,,Management,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
59 Productions,London,,,Others,,,,,Skilled Worker,Worker (A rating),18-May-21,
5AXISWORKS LTD,London,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),1-Nov-19,
5G Communications Limited,High Wycombe,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),4-Aug-13,
6 Bones Limited trading as Dirty Bones,London,,,Others,,,,, Skilled Worker,Worker (A rating),16-Jan-18,
"60 Decibels, Inc",London,,,Others,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
64 COMPUTERS LTD,LONDON,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
66 North UK Limited,London,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",2-Aug-19,
67 Bricks Ltd.,Oxford,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
67 Pall Mall Ltd,London,,,Food & Accomodation,,,,,Skilled Worker XPM4J0PXX,Worker (A rating),1-Jun-21,
6a ltd.,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),5-Mar-18,
6B Digital Limited,Wakefiled,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),13-Nov-20,
7 Hills solutions Ltd,Milton Keynes,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),5-Feb-20,
7 Oaks News & Wine Store,Sevenoaks,,,Others,,,,,Skilled Worker,Worker (A rating),11-May-21,
7 STAR TRADING LTD,Bristol,,,Others,,,,, Skilled Worker,Worker (A rating),29-Jul-20,
72 Point Limited,Bristol,,,Advertising,,,,, Skilled Worker,Worker (A rating),16-Mar-18,
720 Management Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",16-Jan-20,
725 Limited,Gravesend,,,Recruitment,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
77 Diamonds Limited,LONDON,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),23-Aug-19,
7711 Retail Ltd,Portsmouth,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),22-Jun-21,
77Agency Ltd,London,,,Advertising,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
7am Limited,Bournemouth,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),24-May-14,
7DIGITAL GROUP PLC,LONDON,,,Management,,,,, Skilled Worker,Worker (A rating),24-Sep-14,
7hillsTechnologies Limited,Newcastle-Under-Lyme,,,Others,,,,,Skilled Worker,Worker (A rating),24-Feb-21,
8 Hours Ahead Ltd,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),14-Jan-20,
8 Million Stories Limited,Edinburgh,,,Advertising,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
80:20 Procurement Services Limited,Aberdeen,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",21-Aug-17,
85 Piccadilly Ltd,London,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
89up Ltd,London,,,Publishing,,,,,Skilled Worker,Worker (A rating),20-Apr-21,
8c Capital LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),16-Mar-18,
8PM Chemist Ltd,Willenhall,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
8th Earl Spencer's Family Settlement,Althorp,,,Others,,,,, Skilled Worker,Worker (A rating),23-Jul-15,
8th Light Ltd,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",23-May-14,
8to8 Dental,Buckie,,,Others,,,,, Skilled Worker,Worker (A rating),27-Jul-17,
8x8 UK LIMITED,AYLESBURY,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-Feb-19,
9 Dots Consulting Limited,Macmerry,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
92 Higher Drive Ltd T/A Highfield House,Purley,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
93digital,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),27-Nov-20,
99P Recycling Ltd,Manchester,,,"Water,Waste management",,,,, Skilled Worker,Worker (A rating),4-Aug-13,
9fin Limited,London,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),7-Aug-20,
9R MANAGEMENT LTD,LONDON,,,Others,,,,, Skilled Worker,Worker (A (SME+)),9-May-19,
A & A Himallari Ltd,London,,,Construction,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
A & A RETAIL & PO LIMITED,SUTTON,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),2-Aug-21,
A & I Care Homes Ltd T/a The Meadows Residential Care Home,Greenford,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
A & M Pharmacies Limited,Coventry,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),25-Nov-17,
A & S (1992) Ltd,Middlesex,,,Others,,,,, Skilled Worker,Worker (A rating),14-Jan-19,
A 2 Z RETAIL LIMITED,LEICESTER,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),6-Jan-21,
A A Rahman t/a Visage Dental Laboratory,Glasgow,,,Others,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
A AND B QUALITY CARE LTD,"LEIGHTON RD,DUNSTABLE",,,"Public administration, Government",,,,,Skilled Worker,Worker (A rating),30-Jul-21,
A and C Fuels Limited,Loughborough,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
A BRIGHT CARE LTD,CANTERBURY,,,Others,,,,, Skilled Worker,Worker (A rating),2-Oct-20,
A C Hulme & Sons,Canterbury,,,Others,,,,, Skilled Worker,Worker (A rating),20-Mar-20,
A City Law Firm Ltd,London,,,Legal,,,,, Skilled Worker,Worker (A rating),31-Oct-14,
A Cloud Guru Ltd,Twickenham,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",22-Apr-20,
A F Foods LTD,Bradford,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),24-Aug-21,
A F Jones Stonemasons Ltd,Reading,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),10-Mar-18,
A G & E S Ltd,London,,,Others,,,,,Skilled Worker,Worker (A rating),11-May-21,
A J Walter Aviation Limited,Slinfold,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),24-Sep-14,
A Jolly Consulting Ltd,Southend-on-Sea,,,Management,,,,, Skilled Worker,Worker (A rating),3-Jun-20,
A M F MEDICA LIMITED,WITHAM,,,Others,,,,, Skilled Worker,Worker (A rating),23-Sep-14,
A M Jamieson & Daughters,Girvan,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
A Nelson & Co Ltd,London,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",22-Oct-13,
A P Sampson Ltd,Luton,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),28-May-19,
A Plus International Express Parcels (UK) Ltd,Feltham,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
A R PARMAR LTD,LONDON,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),11-Jun-15,
A Rocha UK,London,,,Education,,,,, Voluntary Workers,Temporary Worker (A rating),30-Dec-20,
A S Roma UK Branch,London,,,Others,,,,, Skilled Worker,Worker (A rating),27-Mar-19,
A Squared Eats Ltd t/a Gupshup,Hale,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),24-Dec-18,
A T Kearney Limited,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
A Tech IT Services Ltd,MANCHESTER,,,Others,,,,, Skilled Worker,Worker (A rating),30-Sep-14,
A to E Training and Solutions Ltd,London,,,Education,,,,, Skilled Worker,Worker (A rating),3-Aug-18,
A Woodlands House,West Sussex,,,Others,,,,,Skilled Worker,Worker (A rating),24-Aug-21,
A Word About Wind Ltd,Oxford,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),12-Dec-17,
A Y & J Solicitors,Carshalton,,,Others,,,,,Skilled Worker,Worker (A rating),10-Mar-21,
A Z REAL ESTATE LIMITED,Brighton,,,Real estate,,,,, Skilled Worker,Worker (A rating),19-Oct-18,
A&A MEDICAL LIMITED,BARNET,,,Dental,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
A&G LONDON PRIVATE LTD T/A SUBWAY,IPSWICH,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),2-Mar-21,
A&H Pizza UK LTD T/A Dominos Pizza,London,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
A&J Big Tops Ltd,Peterborough,,,Rental,,,,,Skilled Worker,Worker (A rating),17-Feb-21,
"A&M Capital Advisors Europe, LLP",London,,,Others,,,,,Skilled Worker,Worker (A rating),29-Apr-21,
A&P Accountants Limited,Central Milton Keynes,,,Legal,,,,, Skilled Worker,Worker (A rating),31-Oct-19,
A&Q Partnership (London) Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
A&R Properties (London) Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),30-Sep-14,
A&S CORPORATION LIMITED T/A SUBWAY,SUFFOLK,,,Food & Accomodation,,,,,Skilled Worker F724RY9R7,Worker (A rating),2-Jun-21,
A&T Caring Services Ltd,Bracknell,,,Medical,,,,,Skilled Worker,Worker (A rating),6-Aug-21,
A. Plessas Transport Ltd,Ipswich,,,Rental,,,,,Skilled Worker,Worker (A rating),10-May-21,
A.B. Hotels (The Arch London) Limited,London,,,Food & Accomodation,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",29-Oct-19,
A.G. Barr PLC,Cumbernauld,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
A.I.U.H GROUP LTD,STAINES-UPON-THAMES,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),6-Aug-19,
